endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1612101741.076	126	126	191	509	isSuccessful	200
1612101741.310	50	50	128	2	isSuccessful	200
1612101741.448	62	62	181	2	isSuccessful	200
1612101741.624	48	48	120	86	isSuccessful	200
1612101742.063	300	300	108	458	isSuccessful	200
1612101742.259	81	78	243	154223	isSuccessful	200
1612101742.456	70	70	128	2	isSuccessful	200
1612101742.728	62	62	175	2	isSuccessful	200
1612101742.965	77	77	247	2	isSuccessful	200
1612101743.318	60	60	276	2	isSuccessful	200
1612101743.635	155	0	110	0	isSuccessful	204
